symbol,open_time,funding_rate,funding_rate_z_7d,funding_rate_1d_change
METUSDT,2026-05-26 04:00:00+00:00,5e-05,0.24880677,0.0
METUSDT,2026-05-26 08:00:00+00:00,2.598e-05,-1.2065252,-2.402e-05
METUSDT,2026-05-26 12:00:00+00:00,1.56e-05,-1.733549,-3.44e-05
METUSDT,2026-05-26 16:00:00+00:00,5e-05,0.31774914,0.0
METUSDT,2026-05-26 20:00:00+00:00,5e-05,0.31774914,0.0
METUSDT,2026-05-27 00:00:00+00:00,-2.494e-05,-3.7266746,-7.494e-05
METUSDT,2026-05-27 04:00:00+00:00,4.45e-06,-1.9863539,-4.555e-05
METUSDT,2026-05-27 08:00:00+00:00,5e-05,0.35764903,2.402e-05
METUSDT,2026-05-27 12:00:00+00:00,5e-05,0.34747964,3.44e-05
METUSDT,2026-05-27 16:00:00+00:00,5e-05,0.34726393,0.0
METUSDT,2026-05-27 20:00:00+00:00,5e-05,0.34726393,0.0
METUSDT,2026-05-28 00:00:00+00:00,5e-05,0.34726393,7.494e-05
METUSDT,2026-05-28 04:00:00+00:00,5e-05,0.34726393,4.555e-05
METUSDT,2026-05-28 08:00:00+00:00,5e-05,0.34726393,0.0
METUSDT,2026-05-28 12:00:00+00:00,5e-05,0.34726393,0.0
METUSDT,2026-05-28 16:00:00+00:00,5e-05,0.34726393,0.0
METUSDT,2026-05-28 20:00:00+00:00,5e-05,0.34726393,0.0
METUSDT,2026-05-29 00:00:00+00:00,5e-05,0.34726393,0.0
METUSDT,2026-05-29 04:00:00+00:00,-5.94e-06,-2.2953315,-5.594e-05
METUSDT,2026-05-29 08:00:00+00:00,5e-05,0.38855332,0.0
METUSDT,2026-05-29 12:00:00+00:00,8.39e-06,-1.5203073,-4.161e-05
METUSDT,2026-05-29 16:00:00+00:00,5e-05,0.42442113,0.0
METUSDT,2026-05-29 20:00:00+00:00,5e-05,0.42442113,0.0
METUSDT,2026-05-30 00:00:00+00:00,5e-05,0.42442113,0.0
METUSDT,2026-05-30 04:00:00+00:00,-4.322e-05,-3.2887177,-3.728e-05
METUSDT,2026-05-30 08:00:00+00:00,5e-05,0.45470887,0.0
METUSDT,2026-05-30 12:00:00+00:00,5e-05,0.45470887,4.161e-05
METUSDT,2026-05-30 16:00:00+00:00,5e-05,0.422599,0.0
METUSDT,2026-05-30 20:00:00+00:00,5e-05,0.42196867,0.0
METUSDT,2026-05-31 00:00:00+00:00,5e-05,0.42196867,0.0
METUSDT,2026-05-31 04:00:00+00:00,5e-05,0.42196867,9.322e-05
METUSDT,2026-05-31 08:00:00+00:00,5e-05,0.42196867,0.0
METUSDT,2026-05-31 12:00:00+00:00,5e-05,0.42196867,0.0
METUSDT,2026-05-31 16:00:00+00:00,5e-05,0.42196867,0.0
METUSDT,2026-05-31 20:00:00+00:00,5e-05,0.42196867,0.0
