symbol,open_time,return_1d,atr_pct,obv_z_1d,vwap_slope_96,bars_since_high,bars_since_high_xs_rank,autocorr_pctile_7d,corr_to_btc_1d,beta_to_btc_change_5d,idio_vol_to_btc_1h,idio_vol_to_btc_1d,funding_rate,funding_rate_z_7d,funding_rate_1d_change,rvol_7d,ret_3d,btc_rvol_7d,resid_rev_2,resid_rev_3,pred_long,pred_short
LTCUSDT,2026-05-29 00:00:00+00:00,-0.005000962,0.0012171534,0.19705142,0.0008363369,392.0,0.35142857,0.14980158,0.7775325,-0.06737822,0.00040804633,0.00094144617,1.28e-06,-0.05180269,-5.265e-05,0.0012384454471599255,-0.020299753367482465,0.0009791379048224062,0.00327205250505358,-0.01622070965822786,-0.04504603,-0.04308707
MELANIAUSDT,2026-05-29 00:00:00+00:00,0.011235955,0.0021436643,0.054490674,0.0005964044,920.0,0.70285714,0.57539684,0.58312416,-0.05402996,0.0014961131,0.0019859849,5e-05,0.15779313,0.0,0.002329974224169672,-0.050686378035903035,0.0009791379048224062,-0.00790235330350697,-0.028673629509285092,-0.0277835,0.012310302
MEMEUSDT,2026-05-29 00:00:00+00:00,-0.03205645,0.0022440283,0.22880043,0.0012283765,389.0,0.28857142,0.66468257,0.7887108,-0.025871398,0.0009301958,0.0015632026,5e-05,0.3803578,0.0,0.0020491923362225915,-0.06093260188087779,0.0009791379048224062,-0.005160737782716751,-0.026396751403808594,0.03527701,0.061562993
METUSDT,2026-05-29 00:00:00+00:00,-0.037650604,0.002085549,0.2665866,0.0012031803,613.0,0.42285714,0.25198412,0.71044946,-0.05122828,0.0011558438,0.0021567515,5e-05,0.34726393,0.0,0.002560900567121154,-0.03555219364599105,0.0009791379048224062,0.006195064401254058,-0.019730089465156198,-0.08816742,-0.044401072
MEUSDT,2026-05-29 00:00:00+00:00,-0.027995521,0.0029003453,0.23057567,0.0015526322,1518.0,0.9942857,0.11111111,0.716288,0.31851503,0.0014070659,0.0016850556,-0.00029784,0.2923639,-0.00010676,0.003861474522277788,-0.10259067357512963,0.0009791379048224062,0.001124274916946888,-0.012076604180037975,-0.37624082,-0.38203365
MINAUSDT,2026-05-29 00:00:00+00:00,-0.010672359,0.0021453435,0.32615635,0.0017769143,389.0,0.28857142,0.57242066,0.7114051,0.02783525,0.00091095467,0.0018088791,-0.00012923,-1.1875205,-1.385e-05,0.0019737414474222063,-0.010672358591248599,0.0009791379048224062,-0.004362762265373021,-0.019592521071899682,0.0693439,0.07393696
MORPHOUSDT,2026-05-29 00:00:00+00:00,-0.039848287,0.0019589239,0.5327553,0.0013252863,1030.0,0.9142857,0.27876985,0.5826056,-0.12186353,0.000808245,0.0020440507,5e-05,0.58739203,0.0,0.0030046391537202977,-0.08501988115980885,0.0009791379048224062,-0.0030899751000106335,0.015070196706801653,-0.091580965,-0.09315717
MOVEUSDT,2026-05-29 00:00:00+00:00,-0.034868423,0.002476794,0.23829463,0.00282326,1477.0,0.98,0.13938493,0.7395795,0.022159718,0.0012491563,0.0015548272,5e-05,0.55908924,0.0,0.002034710143013405,-0.08722741433021797,0.0009791379048224062,0.0006657787598669529,-0.016411162447184324,-0.015779063,-0.063888274
NEOUSDT,2026-05-29 00:00:00+00:00,-0.011590004,0.001861374,0.062449597,0.00064258283,691.0,0.5285714,0.31001985,0.7440699,-0.037785366,0.00071780983,0.0015222381,6.02e-06,-1.5320029,-9.398e-05,0.001917235525792774,-0.040845070422535046,0.0009791379048224062,-0.002022045198827982,-0.029444961342960596,0.07006714,0.074321
NXPCUSDT,2026-05-29 00:00:00+00:00,0.04218835,0.0032045683,0.012648621,0.00078067556,19.0,0.022857143,0.8606151,0.29223984,-0.5366132,0.002167664,0.0028298062,9.86e-06,-0.19502914,-1.589e-05,0.0035187477616233707,0.03826322930800541,0.0009791379048224062,-0.0032294183038175106,-0.022424667607992887,0.12784341,0.0948194
OPUSDT,2026-05-29 00:00:00+00:00,-0.04119548,0.0036293939,-0.36016676,0.0021541931,691.0,0.5285714,0.45337301,0.7188042,-0.1465707,0.0018304236,0.0021050454,-0.00024687,-2.7769604,-0.00034687,0.0025196535322213743,-0.08641975308641969,0.0009791379048224062,-0.015903716906905174,-0.015485397219890729,-0.103476204,-0.106247105
PAXGUSDT,2026-05-29 00:00:00+00:00,0.008503187,0.00060299406,0.27908152,0.00016977845,72.0,0.108571425,0.28968254,0.43430573,0.18833786,0.00041091116,0.0007475134,2.835e-05,-0.056717843,4.33e-05,0.0005962465712131458,-0.014073238867019833,0.0009791379048224062,0.0007445666706189513,-0.020774619304575026,-0.028153084,-0.06040797
PEOPLEUSDT,2026-05-29 00:00:00+00:00,-0.0234375,0.0032565622,0.3411104,0.00069473684,691.0,0.5285714,0.012400794,0.70994866,-0.47831056,0.0014121876,0.0019361805,1e-04,0.2452296,0.0,0.0024650009985568667,-0.0587349397590361,0.0009791379048224062,-0.0005924939177930355,-0.015526419039815664,0.0019251332,0.017791945
POLUSDT,2026-05-29 00:00:00+00:00,-0.028530195,0.0015321457,0.27643758,0.0008439377,734.0,0.6628571,0.40575397,0.7078361,-0.14964388,0.00070302887,0.0012778537,3e-08,0.10787751,6.334e-05,0.0014785993074121157,-0.057383238054147356,0.0009791379048224062,0.0023652268573641777,-0.001829533837735653,0.029090833,0.026451433
POLYXUSDT,2026-05-29 00:00:00+00:00,-0.050650105,0.0032491845,0.13734178,0.0011895738,726.0,0.6457143,0.42460316,0.6595906,-0.7054321,0.0014367183,0.0018485395,2.912e-05,0.30226254,-2.088e-05,0.0028795550294100987,-0.13586765223512853,0.0009791379048224062,-0.00176345556974411,-0.02893589809536934,0.10743016,0.1366877
PROVEUSDT,2026-05-29 00:00:00+00:00,0.01861702,0.003697892,0.5051624,0.00024242958,1085.0,0.93142855,0.46478173,0.4454098,0.15202768,0.0016981497,0.0028807516,-3.293e-05,0.29207033,-8.293e-05,0.0037620875086851265,-0.1205186880244088,0.0009791379048224062,0.010776794515550137,0.01180147414561361,-0.071977,-0.032886077
PYTHUSDT,2026-05-29 00:00:00+00:00,-0.0242682,0.0026025155,0.59152544,0.0015860331,473.0,0.3942857,0.41517857,0.7241047,-0.35229877,0.0012743954,0.0019329477,7.04e-06,-1.2618229,-4.296e-05,0.0025502631727217927,-0.05394896719319564,0.0009791379048224062,-0.0056588007137179375,-0.02265510056167841,-0.027203815,-0.007920871
RENDERUSDT,2026-05-29 00:00:00+00:00,-0.05843544,0.0041051153,0.072179556,0.00096476695,690.0,0.4485714,0.4122024,0.57342553,-0.31113118,0.0019705466,0.0028341068,-3.163e-05,-3.2371979,-8.163e-05,0.003929085411680462,-0.08520384791571223,0.0009791379048224062,0.0007516089826822281,-0.004500389564782381,-0.060444158,-0.067946926
RSRUSDT,2026-05-29 00:00:00+00:00,-0.016393442,0.0028444629,0.26812032,0.0013761569,349.0,0.17714286,0.21527778,0.5293166,-0.06797556,0.000991239,0.0036881603,-5.8e-07,-1.6983187,-0.00010058,0.0029579783010231547,-0.027059530968129852,0.0009791379048224062,-0.0071404073387384415,-0.031056789681315422,0.002446087,-0.018769987
RUNEUSDT,2026-05-29 00:00:00+00:00,0.0014140938,0.0024647692,-0.12362607,0.001576802,971.0,0.8371429,0.5049603,0.7108312,0.05299793,0.0007767813,0.0018573005,2.923e-05,-0.95909375,-7.077e-05,0.002690672180812525,-0.050000000000000044,0.0009791379048224062,-0.015976116061210632,-0.03018940333276987,0.1283724,0.091957435
SANDUSDT,2026-05-29 00:00:00+00:00,-0.021034433,0.0020954288,0.16558461,0.0016726954,691.0,0.5285714,0.43650794,0.7565005,-0.17110568,0.0008254803,0.0014721524,1e-04,1.2313058,6.443e-05,0.001881085876399688,-0.05242555571089036,0.0009791379048224062,-0.004837799817323685,-0.020297851413488388,-0.04880226,-0.04037264
SEIUSDT,2026-05-29 00:00:00+00:00,0.026831474,0.003937086,-0.5795609,0.00047662083,71.0,0.10285714,0.04315476,0.5307458,0.2745921,0.002025658,0.0035572455,6.196e-05,0.95496064,-6.93e-06,0.0029668427353869604,0.09737948883856351,0.0009791379048224062,0.016924586379900575,0.00540978298522532,0.17695443,0.14964259
SKRUSDT,2026-05-29 00:00:00+00:00,-0.00035984168,0.001807889,0.07671655,0.00023927298,691.0,0.5285714,0.3169643,0.74247307,-0.01701668,0.0009686362,0.001294043,5e-05,0.15446082,0.0,0.0016967873086141416,-0.05754614549402837,0.0009791379048224062,-0.0021841456182301044,-0.013690080028027296,0.19255893,0.17994063
SKYUSDT,2026-05-29 00:00:00+00:00,-0.011042203,0.0012346995,-0.13160527,-0.00010105535,709.0,0.62285715,0.57242066,0.65260714,-0.12943844,0.0005087974,0.001056516,5e-05,0.5107265,8.17e-06,0.001244309446191146,-0.0658648339060709,0.0009791379048224062,0.008017713204026222,0.002453544642776251,0.060702667,0.058566004
SNXUSDT,2026-05-29 00:00:00+00:00,-0.0019455253,0.0029715996,0.27033192,0.0007465098,69.0,0.09714286,0.11309524,0.6638768,0.041682303,0.0012768746,0.002190555,1e-04,0.74784184,2.4e-05,0.002264199394656161,-0.03358443188951654,0.0009791379048224062,-0.021387096028774977,-0.0414362451992929,-0.058196925,-0.039033156
SOLUSDT,2026-05-29 00:00:00+00:00,-0.0038792582,0.0017822981,0.08824813,0.00064520014,389.0,0.28857142,0.28422618,0.8738,-0.1258874,0.000722213,0.0008503404,-3.559e-05,0.021124067,-4.584e-05,0.001525304445758007,-0.03458416656863916,0.0009791379048224062,0.00032526394352316856,-0.013104900252074003,-0.02104655,-0.025453135
SOPHUSDT,2026-05-29 00:00:00+00:00,-0.023815932,0.002051448,0.37814957,0.0010119401,1073.0,0.9257143,0.42559522,0.7724489,-0.042921294,0.0005958563,0.0015073305,-0.00013137,-1.6479353,-3.764e-05,0.0020844215388435465,-0.08301695773221962,0.0009791379048224062,-0.002759912167675793,-0.016062039998359978,0.055588327,0.061665647
STXUSDT,2026-05-29 00:00:00+00:00,0.0073024053,0.0031033654,0.85065377,0.0029106236,0.0,0.011428571,0.36309522,0.7766453,-0.29721457,0.0013525187,0.0014329138,-0.00024741,-1.8323791,-0.00018744,0.0020756160043274,-0.056565656565656486,0.0009791379048224062,-0.02477351203560829,-0.03766628075391054,-0.035015296,0.0064831106
SUIUSDT,2026-05-29 00:00:00+00:00,-0.032133944,0.0030303814,0.21390466,0.00089794537,943.0,0.76285714,0.2703373,0.78635645,-0.45854032,0.0015087775,0.0015956995,-6.84e-06,-1.0569402,-6.513e-05,0.0024864246701745913,-0.10869148119723715,0.0009791379048224062,0.002622718457132578,-0.016664523165673018,-0.062418036,-0.07308474
