time,fold,gross,funding,cost,net,n_open
2026-01-18 04:00:00+00:00,6,-6.8901644,0.30324000000000284,0.45,-7.036924375305174,10
2026-01-18 08:00:00+00:00,6,-3.0392928,-0.0572399999999966,0.0,-3.0965328123474087,10
2026-01-18 12:00:00+00:00,6,7.108549,0.1149400000000107,0.0,7.223489118042003,10
2026-01-18 16:00:00+00:00,6,-19.741095,-0.05836999999999509,0.0,-19.799464589233395,10
2026-01-18 20:00:00+00:00,6,-134.71806,-0.010460000000001204,0.9,-135.6285233544922,10
2026-01-19 00:00:00+00:00,6,38.07261,0.14335999999999494,0.9,37.3159689477539,10
2026-01-19 04:00:00+00:00,6,54.89263,0.13635999999998816,4.05,50.97899153076171,10
2026-01-19 08:00:00+00:00,6,10.217083,0.1401400000000004,0.9,9.457222977294922,10
2026-01-19 12:00:00+00:00,6,-24.283445,-0.022960000000005892,2.25,-26.556405358276372,10
2026-01-19 16:00:00+00:00,6,28.992273,-0.16184999999999813,1.8,27.03042333068848,10
2026-01-19 20:00:00+00:00,6,-0.29285955,0.047400000000005854,2.25,-2.4954595542907656,10
2026-01-20 00:00:00+00:00,6,-4.428919,0.07288000000000087,2.25,-6.606038838500976,10
2026-01-20 04:00:00+00:00,6,17.82784,0.28888999999999826,2.25,15.86673080505371,10
2026-01-20 08:00:00+00:00,6,-14.768406,0.07131000000000498,1.35,-16.047095914306635,10
2026-01-20 12:00:00+00:00,6,47.034134,0.11783000000001664,0.45,46.70196391113283,10
2026-01-20 16:00:00+00:00,6,27.999187,0.028680000000003147,0.9,27.127867469482425,10
2026-01-20 20:00:00+00:00,6,-28.221823,-0.3570200000000169,1.8,-30.378842738647478,10
2026-01-23 00:00:00+00:00,7,29.943123,0.005109999999999143,2.25,27.69823286376953,10
2026-01-23 04:00:00+00:00,7,-17.68595,-0.07109000000000129,4.5,-22.257039325561525,10
2026-01-23 08:00:00+00:00,7,-6.854409,0.12906000000000115,1.35,-8.075349217834471,10
2026-01-23 12:00:00+00:00,7,-13.550877,0.1432499999999954,1.8,-15.207626617431647,10
2026-01-23 16:00:00+00:00,7,36.313618,0.0056900000000004725,1.8,34.51930770629883,10
2026-01-23 20:00:00+00:00,7,12.402862,0.14681999999999673,1.35,11.199681595153805,10
2026-01-24 00:00:00+00:00,7,0.4879861,0.03096999999999671,0.0,0.518956087799069,10
2026-01-24 04:00:00+00:00,7,2.678514,-0.07978000000001517,0.9,1.6987340037536471,10
2026-01-24 08:00:00+00:00,7,0.40162754,0.2961699999999986,0.9,-0.20220245941162251,10
2026-01-24 12:00:00+00:00,7,-9.4132,-0.4412900000000037,0.9,-10.754490378417973,10
2026-01-24 16:00:00+00:00,7,-11.883728,0.19933999999999924,3.1500000000000004,-14.834388027343751,10
2026-01-24 20:00:00+00:00,7,-2.7848306,0.6138599999999869,1.8,-3.9709705702209606,10
2026-01-25 00:00:00+00:00,7,-7.3720274,-0.09939999999999949,0.0,-7.471427397155761,10
2026-01-25 04:00:00+00:00,7,-29.593327,0.3940800000000154,0.0,-29.1992465686035,10
2026-01-25 08:00:00+00:00,7,4.838695,0.015629999999995647,0.45,4.404325049285884,10
2026-01-25 12:00:00+00:00,7,-28.498375,0.43465999999999816,0.9,-28.963714938964845,10
2026-01-25 16:00:00+00:00,7,21.883125,-0.020270000000002786,1.35,20.512855305175776,10
2026-01-25 20:00:00+00:00,7,6.45306,0.09681000000000622,0.45,6.09987015014649,10
2026-01-26 00:00:00+00:00,7,8.856148,0.043219999999996594,0.9,7.999367766113277,10
2026-01-26 04:00:00+00:00,7,-12.413854,0.046900000000012924,0.45,-12.816953645324693,10
2026-01-26 08:00:00+00:00,7,12.971333,0.05000000000000143,0.0,13.021332550048829,10
2026-01-26 12:00:00+00:00,7,-2.0522099,0.29246999999999956,1.35,-3.1097398541259773,10
2026-01-26 16:00:00+00:00,7,-23.69595,-0.15446999999999683,2.7,-26.550419554443355,10
2026-01-26 20:00:00+00:00,7,-7.704519,0.2631800000000087,1.35,-8.791338795013418,10
2026-01-27 00:00:00+00:00,7,27.638924,-0.2339699999999983,2.25,25.154953645019532,10
2026-01-27 04:00:00+00:00,7,-13.814373,0.20449999999999982,0.9,-14.509873016357423,10
2026-01-27 08:00:00+00:00,7,4.815255,-0.10630000000000014,0.9,3.8089551651000977,10
2026-01-27 12:00:00+00:00,7,-49.07577,-0.3387000000000078,1.35,-50.76447133178712,10
2026-01-27 16:00:00+00:00,7,28.634247,0.04225999999999753,2.25,26.426506826171874,10
2026-01-27 20:00:00+00:00,7,52.604176,0.06730000000000624,2.25,50.421475567626956,10
2026-01-28 00:00:00+00:00,7,41.644276,0.020960000000000423,1.8,39.86523566528321,10
2026-01-28 04:00:00+00:00,7,14.759665,0.028450000000006234,1.35,13.438114535522468,10
2026-01-28 08:00:00+00:00,7,174.46443,-0.06900000000000656,0.9,173.4954317626953,10
2026-01-28 12:00:00+00:00,7,34.098637,-0.02844999999999584,1.35,32.72018662719727,10
