time,fold,gross_pnl_bps,cost_bps,net_pnl_bps
2025-07-30 04:00:00+00:00,1,-98.65754945061056,9.0,-107.65754945061056
2025-07-30 08:00:00+00:00,1,-67.0537581419552,9.0,-76.0537581419552
2025-07-30 12:00:00+00:00,1,-125.06375903551678,9.0,-134.0637590355168
2025-07-30 16:00:00+00:00,1,114.82301566861506,9.0,105.82301566861506
2025-07-30 20:00:00+00:00,1,-100.25830253257675,9.0,-109.25830253257675
2025-07-31 00:00:00+00:00,1,-455.2766519120812,9.0,-464.2766519120812
2025-07-31 04:00:00+00:00,1,-71.01664791222879,9.0,-80.01664791222879
2025-07-31 08:00:00+00:00,1,-61.23608899295691,9.0,-70.23608899295691
2025-07-31 12:00:00+00:00,1,89.79817913608704,9.0,80.79817913608704
2025-07-31 16:00:00+00:00,1,0.0,0.0,0.0
2025-07-31 20:00:00+00:00,1,-65.95969350406563,9.0,-74.95969350406563
2025-08-01 00:00:00+00:00,1,-12.81344621339547,9.0,-21.81344621339547
2025-08-01 04:00:00+00:00,1,-0.05739327620327833,9.0,-9.057393276203278
2025-08-01 08:00:00+00:00,1,40.67432733417952,9.0,31.674327334179523
2025-08-01 12:00:00+00:00,1,133.04917009362282,9.0,124.04917009362282
2025-08-01 16:00:00+00:00,1,-66.38545127207199,9.0,-75.38545127207199
2025-08-01 20:00:00+00:00,1,-63.42904707179292,9.0,-72.42904707179292
2025-08-02 00:00:00+00:00,1,4.280025068352988,9.0,-4.719974931647012
2025-08-02 04:00:00+00:00,1,57.35542133781352,9.0,48.35542133781352
2025-08-02 08:00:00+00:00,1,-86.7470620856156,9.0,-95.7470620856156
2025-08-02 12:00:00+00:00,1,39.477805905895465,9.0,30.477805905895465
2025-08-02 16:00:00+00:00,1,-18.443975897948107,9.0,-27.443975897948107
2025-08-02 20:00:00+00:00,1,-39.244444763213146,9.0,-48.244444763213146
2025-08-03 00:00:00+00:00,1,-77.12530317972683,9.0,-86.12530317972683
2025-08-03 04:00:00+00:00,1,69.50772548708788,9.0,60.50772548708788
2025-08-03 08:00:00+00:00,1,47.83764868319662,9.0,38.83764868319662
2025-08-03 12:00:00+00:00,1,-4.840178027382337,9.0,-13.840178027382336
2025-08-03 16:00:00+00:00,1,-11.162238689213277,9.0,-20.162238689213275
2025-08-03 20:00:00+00:00,1,25.807871488230347,9.0,16.807871488230347
2025-08-04 00:00:00+00:00,1,0.31839113125866836,9.0,-8.681608868741332
2025-08-04 04:00:00+00:00,1,-70.69684556462865,9.0,-79.69684556462865
2025-08-04 08:00:00+00:00,1,-106.62899405222707,9.0,-115.62899405222707
2025-08-04 12:00:00+00:00,1,-36.37122297016975,9.0,-45.37122297016975
2025-08-04 16:00:00+00:00,1,-48.63164486425972,9.0,-57.63164486425972
2025-08-04 20:00:00+00:00,1,78.95372259622606,9.0,69.95372259622606
2025-08-05 00:00:00+00:00,1,4.117109556859774,9.0,-4.882890443140226
2025-08-05 04:00:00+00:00,1,-4.4701803741296375,9.0,-13.470180374129637
2025-08-05 08:00:00+00:00,1,65.28400569452592,9.0,56.284005694525916
2025-08-05 12:00:00+00:00,1,-113.61398052865242,9.0,-122.61398052865242
2025-08-05 16:00:00+00:00,1,-33.71898562981652,9.0,-42.71898562981652
2025-08-05 20:00:00+00:00,1,-167.81655843061566,9.0,-176.81655843061566
2025-08-06 00:00:00+00:00,1,-135.29362771774615,9.0,-144.29362771774615
