feature,mean,std,min,p001,p01,p05,p50,p95,p99,p999,max,nan_pct,zero_pct,absmax,nunique
return_8h_orth,-0.0008666798,0.91746724,-2.813387870788574,-2.813387870788574,-2.6115746212005613,-1.5091097235679625,-0.00475542270578444,1.4944819271564456,2.7667587375640856,3.2102880477905273,3.2102880477905273,0.0,0.0001284360274279501,3.210288,4573438
corr_to_btc_change_3d,-0.06118575,1.0948087,-2.910266637802124,-2.910266637802124,-2.910266637802124,-2.0387154340744016,-0.02802852261811495,1.7681005477905263,2.4580752849578857,2.4580752849578857,2.4580752849578857,0.0,0.0009663875850161294,2.9102666,4520350
funding_rate,-0.029651865,1.0390351,-1.8027602434158325,-1.8027602434158325,-1.8027602434158325,-1.6711435317993164,-0.00397843262180686,1.5739398002624512,2.523559331893921,2.628798007965088,2.628798007965088,0.0,0.0,2.628798,3865
obv_z_1d,-0.04358803,0.9987685,-2.212200164794922,-2.212200164794922,-2.212200164794922,-1.5453525602817535,-0.1805812418460846,1.6788485348224633,2.470766305923462,2.470766305923462,2.470766305923462,0.0,0.00023941473073947977,2.4707663,4519245
dom_btc_z_1d,0.037399262,0.99840635,-2.063128709793091,-2.063128709793091,-2.063128709793091,-1.4876425504684447,-0.02651067078113556,1.7133290290832495,2.324070692062378,2.324070692062378,2.324070692062378,0.0,0.00023941473073947977,2.3240707,4522648
funding_rate_1d_change,0.01711534,0.9988139,-1.5850083827972412,-1.5850083827972412,-1.5850083827972412,-1.4172815084457397,-0.2651665210723877,1.6900110244750977,1.8562171459197998,1.8564343452453613,1.8564343452453613,0.0,0.0,1.8564343,6003
bars_since_high_xs_rank,-0.0037778362,0.9870884,-1.7636445760726929,-1.7636445760726929,-1.7322237491607666,-1.5492433309555054,-0.03549625352025032,1.5946929454803467,1.826966643333435,1.826966643333435,1.826966643333435,0.0,8.7286620582102e-06,1.8269666,1392
funding_rate_z_7d,-0.020730404,0.99950814,-1.7459501028060913,-1.7459501028060913,-1.712367296218872,-1.5448952913284302,-0.10371146351099014,1.6337590217590332,1.7539502382278442,1.7539502382278442,1.7539502382278442,0.0,0.0,1.7539502,194711
idio_vol_to_btc_1h,-0.1510237,1.0344213,-1.7377955913543701,-1.737545132637024,-1.7247159481048584,-1.6302614212036133,-0.22692565619945526,1.540642261505127,1.700892686843872,1.734751582145691,1.7378010749816895,0.0,0.0,1.7378011,638273
vwap_slope_96,-0.011431129,0.9487324,-1.7321007251739502,-1.7300409078598022,-1.6971590304374695,-1.5325710773468018,0.005249094683676958,1.5071264505386353,1.6830068826675415,1.7269352674484253,1.73210608959198,0.0,0.0,1.7321061,640628
