feature,coef_mean,coef_std,coef_min,coef_max,coef_abs,coef_stability,f_mean,f_std,cs_ic_mean,cs_ic_abs,decile_0_bps,decile_9_bps,spread_bps,family,lo,hi,mu,sd,raw_skew,raw_kurt
funding_rate_z_7d,0.013336533014953602,0.01706132894920243,-0.0015288186259567738,0.06119640916585922,0.013336533014953602,0.7816819577572853,0.0074811215,0.9958386,0.0006460633994178885,0.0006460633994178885,-13.432581230824871,18.421440611213928,31.854021842038797,W17_base,-4.125713856813588,1.655701957542673,-0.04836063256501443,1.1672167114865852,-2.6359807877376675,31.990511989876687
dom_level_vs_bk,0.012660509869456292,0.0022978598914891405,0.007684408687055111,0.01723897084593773,0.012660509869456292,5.509696181367951,0.00017756835,0.999606,0.0218638006410964,0.0218638006410964,0.3627839220495837,2.4175352437294486,2.054751321679865,W17_base,-4.96654372215271,7.56456491947174,1.2585719347341087,2.504564436948264,0.34808748960494995,0.15819501876831055
bk_ema_slope_4h,0.011719086403027178,0.02006161831398142,-0.04372914880514145,0.03832898661494255,0.011719086403027178,0.5841545891070945,0.061703872,0.95138276,,,0.5229260059761197,-0.08786330981031046,-0.6107893157864301,W17_base,-0.011068436317145824,0.009588342159986496,5.372622035793029e-05,0.0037105127703398466,-0.14268344640731812,4.080313682556152
vwap_slope_96,-0.010633685244247317,0.02298493703938763,-0.033374737948179245,0.05305870249867439,0.010633685244247317,0.46263712735106205,0.04970854,0.959186,-0.0020345104927550397,0.0020345104927550397,-11.539929007465426,19.676985927150465,31.216914934615893,W17_base,-0.00547777726314962,0.006279196823015776,9.388663966640663e-06,0.0017294824146831657,4.284344673156738,321.8696594238281
beta_to_btc_sq,0.01005877248942852,0.0033128310409420913,0.005369332619011402,0.02010270021855831,0.01005877248942852,3.036307123760843,1.1371675,1.6907699,-0.008671129371285214,0.008671129371285214,-3.946724661369671,10.192700921051053,14.139425582420724,new_ushape_sq,,,0.0,1.0,,
bars_since_high_xs_rank,0.009587837299332023,0.0036787691810907406,0.0028478058520704508,0.016026092693209648,0.009587837299332023,2.606262265274623,-0.0019220805,0.99753594,0.027469506743596057,0.027469506743596057,-3.7038491286804263,-4.993635786716441,-1.2897866580360144,W17_base,0.02083333395421505,1.0,0.5101127624511719,0.28420108556747437,0.01762404851615429,-1.1781799793243408
xs_alpha_iqr_12b,-0.00947115255985409,0.01578421405076605,-0.02957897074520588,0.03267143294215202,0.00947115255985409,0.6000395413666119,0.040826794,0.9813357,,,-8.616737113592468,7.966292654368265,16.58302976796073,new_monotonic,0.001103354928565125,0.0031832465022803846,0.0017468689540863051,0.0004105292394931703,1.4574721706393083,3.6109927713284407
idio_ret_to_btc_12b,-0.009190071004559286,0.005288347020129725,-0.020778140053153038,-0.0003763166896533221,0.009190071004559286,1.737796511760276,0.009900336,1.0088485,-0.016003497552825596,0.016003497552825596,3.43386201585678,0.19387875875017388,-3.239983257106606,new_ushape_base,-0.02133895994485382,0.024583102252985826,-0.00018801434907394864,0.007428374894276439,0.5952364914527665,43.5537432598129
dom_change_288b_vs_bk_sq,-0.008864192436740269,0.01099334663899729,-0.03211614117026329,0.004734491463750601,0.008864192436740269,0.8063233815711625,1.0416155,2.2645416,-0.0240388426521038,0.0240388426521038,-2.908682983016474,1.0872015096301333,3.9958844926466073,R3_squared,,,0.0,1.0,,
dom_level_vs_bk_sq,0.007215252574533224,0.002555607145740595,0.0038239052519202232,0.014223450794816017,0.007215252574533224,2.82330270775726,0.99921227,1.4533774,0.019667876057019845,0.019667876057019845,-6.673643486846908,4.515725529125461,11.18936901597237,R3_squared,,,0.0,1.0,,
