fold,seed,alpha,return_1d,atr_pct,dom_level_vs_bk,dom_change_288b_vs_bk,bk_ema_slope_4h,corr_change_3d_vs_bk,obv_z_1d,vwap_slope_96,bars_since_high_xs_rank,idio_vol_1d_vs_bk_xs_rank,funding_rate,funding_rate_z_7d,corr_to_btc_1d,idio_vol_to_btc_1h,beta_to_btc_change_5d,funding_rate_1d_change,intercept
5,42,100.0,0.009252199,0.027881877,0.01843017,-0.025532484,0.03060673,0.004862089,0.042334493,-0.032279305,0.008914429,-0.00940243,-0.010747003,0.005413694,0.018415952,0.021877017,0.0062635723,0.0032275175,0.003005155362188816
5,1337,100.0,0.01048594,0.029432898,0.018353185,-0.021598386,0.030524034,0.002978842,0.040877048,-0.03207624,0.008462449,-0.008845815,-0.00886066,0.0036024987,0.02053964,0.020666918,0.004856958,0.0011522134,0.004385265521705151
5,7,100.0,0.013177838,0.030688958,0.018604727,-0.025034739,0.030802762,0.002723475,0.03943568,-0.03212262,0.008184016,-0.007672001,-0.010247821,0.0032350174,0.020354137,0.019276166,0.0053823786,0.0045452476,0.0028236289508640766
5,19,100.0,0.014371098,0.029529342,0.017768366,-0.024538053,0.030723797,0.004066682,0.04016888,-0.034128856,0.00972777,-0.009289651,-0.008776509,0.0038672397,0.020447336,0.019336259,0.006207115,0.0010729088,0.002445831662043929
5,2718,100.0,0.012276707,0.030286893,0.018185804,-0.02470661,0.031081775,0.0015283964,0.040487528,-0.034671433,0.0077211107,-0.010114849,-0.010336213,0.0035402742,0.01746881,0.02068187,0.0048252395,0.002065155,0.002452146029099822
6,42,100.0,0.008384286,0.037933968,0.016787015,-0.02077259,0.01245454,-0.0010330931,0.043640044,-0.037598833,0.0056217066,-0.0045905085,-0.01354486,0.0025523738,0.029740421,0.0074709915,-0.0034907416,0.008292544,0.007549753878265619
6,1337,100.0,0.008550112,0.039659213,0.01577279,-0.018294118,0.014790856,-0.0020583349,0.042794123,-0.039188348,0.008384394,-0.007789376,-0.013541278,0.002447912,0.028655633,0.00724847,-0.0018382778,0.0069033094,0.008221092633903027
6,7,100.0,0.008623864,0.037695773,0.015285839,-0.017971879,0.013539698,-0.00034000335,0.042816386,-0.037459414,0.008157145,-0.0058181523,-0.01466718,0.0062531694,0.028317243,0.0074538225,-0.0009617152,0.0042614606,0.008532029576599598
6,19,100.0,0.012919012,0.03864525,0.016155295,-0.020261958,0.012081193,-0.0021635739,0.042071532,-0.03742672,0.008865759,-0.004768208,-0.015034754,0.0021590213,0.030978283,0.005795705,-0.0022631402,0.008995954,0.007114331237971783
6,2718,100.0,0.0085783,0.03884328,0.015165878,-0.017506614,0.012528525,-0.00042674335,0.04415839,-0.039780892,0.009448893,-0.0054294346,-0.012251163,0.0033510362,0.027339257,0.0033593627,-0.001856742,0.006761166,0.006670784670859575
