feature,coef,fold,seed,intercept,alpha
sym_WLDUSDT,-1.9271332,0,19,1.5204675197601318,0.1
sym_XRPUSDT,-1.8659968,0,19,1.5204675197601318,0.1
sym_ZECUSDT,-0.61920065,0,19,1.5204675197601318,0.1
return_1d,0.09651454,0,2718,1.5731890201568604,0.1
atr_pct,0.01055263,0,2718,1.5731890201568604,0.1
dom_level_vs_bk,-0.94961876,0,2718,1.5731890201568604,0.1
dom_change_288b_vs_bk,-0.07669698,0,2718,1.5731890201568604,0.1
bk_ema_slope_4h,-0.020141577,0,2718,1.5731890201568604,0.1
corr_change_3d_vs_bk,0.014495033,0,2718,1.5731890201568604,0.1
obv_z_1d,-0.007904915,0,2718,1.5731890201568604,0.1
vwap_slope_96,0.04627911,0,2718,1.5731890201568604,0.1
bars_since_high_xs_rank,0.0127885435,0,2718,1.5731890201568604,0.1
idio_vol_1d_vs_bk_xs_rank,-0.042418286,0,2718,1.5731890201568604,0.1
funding_rate,-0.0057831523,0,2718,1.5731890201568604,0.1
funding_rate_z_7d,0.060616724,0,2718,1.5731890201568604,0.1
corr_to_btc_1d,0.0008104902,0,2718,1.5731890201568604,0.1
idio_vol_to_btc_1h,0.0067139515,0,2718,1.5731890201568604,0.1
beta_to_btc_change_5d,0.055234246,0,2718,1.5731890201568604,0.1
funding_rate_1d_change,-0.025636941,0,2718,1.5731890201568604,0.1
sym_ADAUSDT,-2.277551,0,2718,1.5731890201568604,0.1
sym_APTUSDT,-1.5144631,0,2718,1.5731890201568604,0.1
sym_ARBUSDT,-2.5227747,0,2718,1.5731890201568604,0.1
sym_ASTERUSDT,0.0,0,2718,1.5731890201568604,0.1
sym_ATOMUSDT,-1.6010363,0,2718,1.5731890201568604,0.1
sym_AVAXUSDT,-1.0064675,0,2718,1.5731890201568604,0.1
sym_AXSUSDT,-1.7817308,0,2718,1.5731890201568604,0.1
sym_BCHUSDT,0.13575275,0,2718,1.5731890201568604,0.1
sym_BIOUSDT,-3.1133296,0,2718,1.5731890201568604,0.1
sym_BNBUSDT,0.32414976,0,2718,1.5731890201568604,0.1
sym_DOGEUSDT,-2.7049527,0,2718,1.5731890201568604,0.1
sym_DOTUSDT,-1.5997844,0,2718,1.5731890201568604,0.1
sym_ENAUSDT,-2.4427423,0,2718,1.5731890201568604,0.1
sym_ETCUSDT,-1.0885551,0,2718,1.5731890201568604,0.1
sym_ETHUSDT,0.79513305,0,2718,1.5731890201568604,0.1
sym_FILUSDT,-1.765972,0,2718,1.5731890201568604,0.1
sym_GMXUSDT,-1.0246711,0,2718,1.5731890201568604,0.1
sym_HBARUSDT,-2.8767834,0,2718,1.5731890201568604,0.1
sym_HYPEUSDT,0.0,0,2718,1.5731890201568604,0.1
sym_ICPUSDT,-1.6064949,0,2718,1.5731890201568604,0.1
sym_INJUSDT,-1.247408,0,2718,1.5731890201568604,0.1
sym_JTOUSDT,-1.9234697,0,2718,1.5731890201568604,0.1
sym_JUPUSDT,-2.3284826,0,2718,1.5731890201568604,0.1
sym_LDOUSDT,-2.1600914,0,2718,1.5731890201568604,0.1
sym_LINKUSDT,-1.211338,0,2718,1.5731890201568604,0.1
sym_LTCUSDT,-0.4554027,0,2718,1.5731890201568604,0.1
sym_NEARUSDT,-1.8388838,0,2718,1.5731890201568604,0.1
sym_ONDOUSDT,-2.1962538,0,2718,1.5731890201568604,0.1
sym_OPUSDT,-2.2811487,0,2718,1.5731890201568604,0.1
sym_ORDIUSDT,-1.2267554,0,2718,1.5731890201568604,0.1
sym_PENDLEUSDT,-1.561519,0,2718,1.5731890201568604,0.1
sym_PENGUUSDT,-3.736039,0,2718,1.5731890201568604,0.1
sym_PUMPUSDT,-3.1432989,0,2718,1.5731890201568604,0.1
sym_RUNEUSDT,-1.7901862,0,2718,1.5731890201568604,0.1
sym_SEIUSDT,-2.744442,0,2718,1.5731890201568604,0.1
sym_SOLUSDT,-0.18686682,0,2718,1.5731890201568604,0.1
sym_STRKUSDT,-2.848512,0,2718,1.5731890201568604,0.1
sym_SUIUSDT,-1.6117257,0,2718,1.5731890201568604,0.1
sym_TAOUSDT,0.18644728,0,2718,1.5731890201568604,0.1
sym_TIAUSDT,-1.7017145,0,2718,1.5731890201568604,0.1
sym_TONUSDT,-1.7819918,0,2718,1.5731890201568604,0.1
sym_TRBUSDT,-0.77023643,0,2718,1.5731890201568604,0.1
sym_UNIUSDT,-1.5212541,0,2718,1.5731890201568604,0.1
sym_VIRTUALUSDT,-1.9016845,0,2718,1.5731890201568604,0.1
sym_VVVUSDT,-1.5805329,0,2718,1.5731890201568604,0.1
sym_WIFUSDT,-2.0983872,0,2718,1.5731890201568604,0.1
sym_WLDUSDT,-2.0271592,0,2718,1.5731890201568604,0.1
sym_XRPUSDT,-1.9252744,0,2718,1.5731890201568604,0.1
sym_ZECUSDT,-0.6380768,0,2718,1.5731890201568604,0.1
return_1d,0.10918866,1,42,1.557584524154663,0.1
atr_pct,0.05260202,1,42,1.557584524154663,0.1
dom_level_vs_bk,-0.9358336,1,42,1.557584524154663,0.1
dom_change_288b_vs_bk,-0.07352124,1,42,1.557584524154663,0.1
bk_ema_slope_4h,0.013867926,1,42,1.557584524154663,0.1
corr_change_3d_vs_bk,0.006235632,1,42,1.557584524154663,0.1
obv_z_1d,-0.008066967,1,42,1.557584524154663,0.1
vwap_slope_96,0.010050554,1,42,1.557584524154663,0.1
bars_since_high_xs_rank,0.01414832,1,42,1.557584524154663,0.1
idio_vol_1d_vs_bk_xs_rank,-0.016151177,1,42,1.557584524154663,0.1
funding_rate,-0.014853014,1,42,1.557584524154663,0.1
funding_rate_z_7d,0.022944964,1,42,1.557584524154663,0.1
corr_to_btc_1d,0.0042968974,1,42,1.557584524154663,0.1
idio_vol_to_btc_1h,-0.021493973,1,42,1.557584524154663,0.1
beta_to_btc_change_5d,0.034209404,1,42,1.557584524154663,0.1
funding_rate_1d_change,0.005373054,1,42,1.557584524154663,0.1
sym_ADAUSDT,-2.271846,1,42,1.557584524154663,0.1
sym_APTUSDT,-1.5092673,1,42,1.557584524154663,0.1
sym_ARBUSDT,-2.4950686,1,42,1.557584524154663,0.1
sym_ASTERUSDT,0.0,1,42,1.557584524154663,0.1
sym_ATOMUSDT,-1.5737214,1,42,1.557584524154663,0.1
sym_AVAXUSDT,-0.9822382,1,42,1.557584524154663,0.1
sym_AXSUSDT,-1.7932752,1,42,1.557584524154663,0.1
sym_BCHUSDT,0.22073255,1,42,1.557584524154663,0.1
sym_BIOUSDT,-3.1671026,1,42,1.557584524154663,0.1
sym_BNBUSDT,0.38837737,1,42,1.557584524154663,0.1
sym_DOGEUSDT,-2.6950562,1,42,1.557584524154663,0.1
sym_DOTUSDT,-1.5921797,1,42,1.557584524154663,0.1
sym_ENAUSDT,-2.4927726,1,42,1.557584524154663,0.1
sym_ETCUSDT,-1.0096182,1,42,1.557584524154663,0.1
sym_ETHUSDT,0.818901,1,42,1.557584524154663,0.1
sym_FILUSDT,-1.751816,1,42,1.557584524154663,0.1
sym_GMXUSDT,-1.0215422,1,42,1.557584524154663,0.1
sym_HBARUSDT,-2.7889204,1,42,1.557584524154663,0.1
sym_HYPEUSDT,-0.83006495,1,42,1.557584524154663,0.1
sym_ICPUSDT,-1.5122806,1,42,1.557584524154663,0.1
sym_INJUSDT,-1.2080255,1,42,1.557584524154663,0.1
sym_JTOUSDT,-1.8851371,1,42,1.557584524154663,0.1
sym_JUPUSDT,-2.3692102,1,42,1.557584524154663,0.1
sym_LDOUSDT,-2.1871393,1,42,1.557584524154663,0.1
sym_LINKUSDT,-1.1323699,1,42,1.557584524154663,0.1
sym_LTCUSDT,-0.41754672,1,42,1.557584524154663,0.1
sym_NEARUSDT,-1.8010495,1,42,1.557584524154663,0.1
sym_ONDOUSDT,-2.1948817,1,42,1.557584524154663,0.1
sym_OPUSDT,-2.2944632,1,42,1.557584524154663,0.1
sym_ORDIUSDT,-1.2571548,1,42,1.557584524154663,0.1
sym_PENDLEUSDT,-1.6089922,1,42,1.557584524154663,0.1
sym_PENGUUSDT,-3.7669997,1,42,1.557584524154663,0.1
sym_PUMPUSDT,-3.2210853,1,42,1.557584524154663,0.1
sym_RUNEUSDT,-1.8789327,1,42,1.557584524154663,0.1
sym_SEIUSDT,-2.6636226,1,42,1.557584524154663,0.1
sym_SOLUSDT,-0.20928656,1,42,1.557584524154663,0.1
sym_STRKUSDT,-2.8537977,1,42,1.557584524154663,0.1
sym_SUIUSDT,-1.6612195,1,42,1.557584524154663,0.1
sym_TAOUSDT,0.14252405,1,42,1.557584524154663,0.1
sym_TIAUSDT,-1.8408935,1,42,1.557584524154663,0.1
sym_TONUSDT,-1.6881617,1,42,1.557584524154663,0.1
sym_TRBUSDT,-0.7097807,1,42,1.557584524154663,0.1
sym_UNIUSDT,-1.3968215,1,42,1.557584524154663,0.1
sym_VIRTUALUSDT,-1.9058031,1,42,1.557584524154663,0.1
sym_VVVUSDT,-1.6126571,1,42,1.557584524154663,0.1
sym_WIFUSDT,-2.1249099,1,42,1.557584524154663,0.1
sym_WLDUSDT,-2.0474129,1,42,1.557584524154663,0.1
sym_XRPUSDT,-1.8259984,1,42,1.557584524154663,0.1
sym_ZECUSDT,-0.6714801,1,42,1.557584524154663,0.1
return_1d,0.11294006,1,1337,1.6146260499954224,0.1
atr_pct,0.054783877,1,1337,1.6146260499954224,0.1
dom_level_vs_bk,-0.97230244,1,1337,1.6146260499954224,0.1
dom_change_288b_vs_bk,-0.082043216,1,1337,1.6146260499954224,0.1
bk_ema_slope_4h,0.01273912,1,1337,1.6146260499954224,0.1
corr_change_3d_vs_bk,0.007333628,1,1337,1.6146260499954224,0.1
obv_z_1d,-0.012099673,1,1337,1.6146260499954224,0.1
vwap_slope_96,0.016944932,1,1337,1.6146260499954224,0.1
