symbol,feature,alpha_1d,alpha_3d,alpha_7d,raw,lift_1d,lift_3d,lift_7d
ETHUSDT,atr_pct,0.0408185950167289,0.040934517149902074,0.03826551510938791,0.04099380178131543,-0.00017520676458653017,-5.9284631413358824e-05,-0.002728286671927524
ETHUSDT,atr_zscore_1d,0.022858233804273462,0.024609259184575585,0.023938156143863003,0.04955957882244955,-0.02670134501817609,-0.024950319637873968,-0.02562142267858655
ETHUSDT,bars_since_high,-0.02513736752819351,-0.025390590548151612,-0.02956865253210504,0.009928060293005816,-0.03506542782119933,-0.03531865084115743,-0.03949671282511086
ETHUSDT,bb_squeeze_20,-0.0024860460366755706,-0.0030684889842757883,-0.0021929647889333574,-0.015395452885652845,0.012909406848977274,0.012326963901377056,0.013202488096719488
ETHUSDT,dist_resistance_20,0.014057095865260983,0.016193421225963962,0.014893507910125135,0.032543927161238925,-0.018486831295977942,-0.016350505935274963,-0.01765041925111379
ETHUSDT,dist_resistance_50,0.020819964564152967,0.022903012746884197,0.021572247513799016,0.03909343820682084,-0.018273473642667872,-0.016190425459936642,-0.017521190693021823
ETHUSDT,efficiency_96,0.009063384525296675,0.00707280447565437,0.0022785565392241577,-0.00877325989603329,0.017836644421329963,0.01584606437168766,0.011051816435257447
ETHUSDT,ema_slope_20_1h,0.02855463352056152,0.02973969602163158,0.032220394986092825,-0.03404252184249058,0.0625971553630521,0.06378221786412216,0.0662629168285834
ETHUSDT,hour_cos,0.0641783164277246,0.059319645823519854,0.05925958007350052,0.05742244959904437,0.006755866828680235,0.0018971962244754836,0.0018371304744561473
ETHUSDT,hour_sin,-0.03355956784298062,-0.03206461261928194,-0.029416975314651966,-0.03769064575333587,0.004131077910355246,0.00562603313405393,0.008273670438683902
ETHUSDT,realized_vol_1h,0.0265585807820987,0.02614570769109609,0.02453547134896414,0.03227203139310533,-0.005713450611006633,-0.006126323702009242,-0.007736560044141194
ETHUSDT,return_1d,0.017367960430862837,0.01986141025489314,0.021605237973843484,-0.03223703247884818,0.049604992909711015,0.052098442733741326,0.053842270452691667
ETHUSDT,signed_volume,0.007962516964714077,0.007719139208923655,0.007601294575329322,-0.0019850982062745303,0.009947615170988607,0.009704237415198186,0.009586392781603852
ETHUSDT,tfi_smooth,0.026358096848819776,0.02469773370708896,0.023824857198027974,0.011270424887912888,0.015087671960906887,0.013427308819176071,0.012554432310115085
ETHUSDT,volume_ma_20,0.03416895196010981,0.03546953138666834,0.03362623379752788,0.03276949002499136,0.0013994619351184456,0.0027000413616769803,0.000856743772536521
ETHUSDT,volume_ma_50,0.05139134062401847,0.051090076281059126,0.049493691199187825,0.043395447749478164,0.007995892874540306,0.007694628531580962,0.006098243449709662
ETHUSDT,vpin,-0.02498177816293113,-0.03223815847546965,-0.033177749420566116,0.009201612527845331,-0.03418339069077646,-0.04143977100331499,-0.04237936194841145
SOLUSDT,adx_15m,0.005631796838911427,-0.0007858102422128904,-0.0025697888933696143,0.002903611378950503,0.002728185459960924,-0.0036894216211633933,-0.005473400272320118
SOLUSDT,atr_pct,0.021869629873419498,0.017335718542930048,0.01856028106813252,0.010508717797197776,0.011360912076221722,0.0068270007457322725,0.008051563270934743
SOLUSDT,atr_zscore_1d,0.005827219848918595,0.004490208302281042,0.0005015995548104306,0.01820689245985327,-0.012379672610934674,-0.013716684157572226,-0.017705292905042837
SOLUSDT,bars_since_high,0.03104228596420189,0.03401965127291512,0.03285501741866898,0.038765680651335566,-0.007723394687133674,-0.004746029378420447,-0.005910663232666584
SOLUSDT,bb_squeeze_20,-0.01727801954398357,-0.014922100868176804,-0.011860912565775103,-0.023922783328184073,0.006644763784200505,0.00900068246000727,0.01206187076240897
SOLUSDT,dist_resistance_20,0.014921407509837092,0.01335886354829844,0.013358221235848504,0.017891839376473,-0.002970431866635906,-0.004532975828174558,-0.004533618140624494
SOLUSDT,dist_resistance_50,0.016581647508019978,0.015736734752460946,0.013811604669577999,0.019388748036969772,-0.0028071005289497936,-0.0036520132845088253,-0.005577143367391773
SOLUSDT,efficiency_96,-0.002734609967709714,-0.002770827925012792,-0.007916264851348023,-0.012128177470903717,0.009393567503194004,0.009357349545890925,0.004211912619555695
SOLUSDT,ema_slope_20_1h,-0.021930834575335897,-0.020915289293689642,-0.020381931450479996,-0.03428057071040556,0.01234973613506966,0.013365281416715915,0.013898639259925561
SOLUSDT,hour_cos,0.046095578808972665,0.04618058231410466,0.049515227272890094,0.05615553200176949,-0.010059953192796824,-0.009974949687664832,-0.006640304728879394
SOLUSDT,hour_sin,-0.021267212518802314,-0.014900524773121005,-0.012501495372550058,-0.03134731569591865,0.010080103177116335,0.016446790922797647,0.01884582032336859
