symbol,feature,target,pearson,spearman
ETHUSDT,ema_slope_20_1h,alpha_1d,0.07514057968605581,0.02855463352056152
ETHUSDT,ema_slope_20_1h,alpha_3d,0.08159192955140403,0.02973969602163158
ETHUSDT,ema_slope_20_1h,alpha_7d,0.08315225650676583,0.032220394986092825
ETHUSDT,bb_squeeze_20,raw,-0.010994251233215901,-0.015395452885652845
ETHUSDT,bb_squeeze_20,alpha_1d,-0.0024521332881583557,-0.0024860460366755706
ETHUSDT,bb_squeeze_20,alpha_3d,-0.00026998118953767936,-0.0030684889842757883
ETHUSDT,bb_squeeze_20,alpha_7d,-0.0007513770832897895,-0.0021929647889333574
ETHUSDT,vpin,raw,0.006749448030375606,0.009201612527845331
ETHUSDT,vpin,alpha_1d,-0.0170576104444395,-0.02498177816293113
ETHUSDT,vpin,alpha_3d,-0.023855856102580626,-0.03223815847546965
ETHUSDT,vpin,alpha_7d,-0.02587722626761543,-0.033177749420566116
ETHUSDT,hour_cos,raw,0.04377844855921997,0.05742244959904437
ETHUSDT,hour_cos,alpha_1d,0.039812617601479486,0.0641783164277246
ETHUSDT,hour_cos,alpha_3d,0.04038041700476545,0.059319645823519854
ETHUSDT,hour_cos,alpha_7d,0.04117074314796872,0.05925958007350052
ETHUSDT,hour_sin,raw,-0.01776926801585786,-0.03769064575333587
ETHUSDT,hour_sin,alpha_1d,-0.013486308133516048,-0.03355956784298062
ETHUSDT,hour_sin,alpha_3d,-0.010205497151183258,-0.03206461261928194
ETHUSDT,hour_sin,alpha_7d,-0.007740298847417604,-0.029416975314651966
ETHUSDT,tfi_smooth,raw,0.016581825567952475,0.011270424887912888
ETHUSDT,tfi_smooth,alpha_1d,0.035802796895342874,0.026358096848819776
ETHUSDT,tfi_smooth,alpha_3d,0.035096656203953226,0.02469773370708896
ETHUSDT,tfi_smooth,alpha_7d,0.03480472495343213,0.023824857198027974
ETHUSDT,signed_volume,raw,0.003587205590639028,-0.0019850982062745303
ETHUSDT,signed_volume,alpha_1d,0.018850045401659653,0.007962516964714077
ETHUSDT,signed_volume,alpha_3d,0.018751643211074445,0.007719139208923655
ETHUSDT,signed_volume,alpha_7d,0.01798008015745484,0.007601294575329322
SOLUSDT,atr_zscore_1d,raw,0.0025409354962299528,0.01820689245985327
SOLUSDT,atr_zscore_1d,alpha_1d,0.002662817293387214,0.005827219848918595
SOLUSDT,atr_zscore_1d,alpha_3d,0.001714413059025711,0.004490208302281042
SOLUSDT,atr_zscore_1d,alpha_7d,0.0007605931346152158,0.0005015995548104306
SOLUSDT,return_1d,raw,-0.011980595446109724,-0.039325562015892
SOLUSDT,return_1d,alpha_1d,-0.003771639661480808,-0.02123667971020439
SOLUSDT,return_1d,alpha_3d,0.0014199254453205418,-0.01763593882667625
SOLUSDT,return_1d,alpha_7d,3.419764643208736e-05,-0.0198601308927817
SOLUSDT,efficiency_96,raw,-0.017371861202652144,-0.012128177470903717
SOLUSDT,efficiency_96,alpha_1d,-0.0007817960881045268,-0.002734609967709714
SOLUSDT,efficiency_96,alpha_3d,0.0001696046776857107,-0.002770827925012792
SOLUSDT,efficiency_96,alpha_7d,-0.0043487094917738535,-0.007916264851348023
SOLUSDT,adx_15m,raw,-0.002799149583431765,0.002903611378950503
SOLUSDT,adx_15m,alpha_1d,0.008974467058135755,0.005631796838911427
SOLUSDT,adx_15m,alpha_3d,0.0038689192917369785,-0.0007858102422128904
SOLUSDT,adx_15m,alpha_7d,0.0016155357421296195,-0.0025697888933696143
SOLUSDT,bars_since_high,raw,0.015838947572719916,0.038765680651335566
SOLUSDT,bars_since_high,alpha_1d,0.01590991966725185,0.03104228596420189
SOLUSDT,bars_since_high,alpha_3d,0.01921825950624517,0.03401965127291512
SOLUSDT,bars_since_high,alpha_7d,0.014531387971248701,0.03285501741866898
SOLUSDT,atr_pct,raw,0.005780790896293373,0.010508717797197776
SOLUSDT,atr_pct,alpha_1d,0.030538245777705843,0.021869629873419498
SOLUSDT,atr_pct,alpha_3d,0.02519424012889642,0.017335718542930048
SOLUSDT,atr_pct,alpha_7d,0.02765833555941798,0.01856028106813252
SOLUSDT,realized_vol_1h,raw,0.005131074444883478,0.00893542014833138
SOLUSDT,realized_vol_1h,alpha_1d,0.026877247584373168,0.019758906454295025
SOLUSDT,realized_vol_1h,alpha_3d,0.02307184127081769,0.015647732959902072
