open_time,period,macro_regime,trend_bucket,edge_bps,long_edge_bps,short_edge_bps,btc_ret_30d,model_bucket,pred_gap,long_ret3d,short_ret3d,long_trail3_resid,short_trail3_resid
2026-05-11 08:00:00+00:00,2026,bull,bull_mild,-2350.1994856633246,-394.0386476460844,-1956.16083801724,0.1098841832705499,bull|conf_hi|long_normal|short_squeeze,1.2217605710029602,-0.0122116689280868,0.2303089261519858,-449.1940268781036,1325.5816604942083
2024-09-18 08:00:00+00:00,2024,side,side_flat,-2314.069534477312,104.31248927488924,-2418.3820237522013,0.0317697658583653,side|conf_lo|long_knife|short_normal,0.5437415242195129,-0.0769143633892159,0.0079365042855411,-114.26043696701528,598.3637587632984
2024-11-24 00:00:00+00:00,2024,bull,bull_deep,-2221.9725692411885,-4.070017603226006,-2217.9025516379625,0.4329037771722002,bull|conf_hi|long_normal|short_squeeze,1.021706074476242,0.1479564988598489,0.2800447377619351,431.9544602185488,538.799415808171
2024-03-01 16:00:00+00:00,2024,bull,bull_deep,-2216.2113309605047,756.1586424708366,-2972.3699734313414,0.4141629962539916,bull|conf_lo|long_normal|short_squeeze,0.561763122677803,0.7594948772933046,0.1930657462815309,3240.000605583191,860.0973116699606
2026-04-15 00:00:00+00:00,2026,side,side_flat,-2202.15419161832,-1214.4407277810387,-987.7134638372808,0.0219106155519557,side|conf_lo|long_knife|short_normal,0.6850321888923645,-0.1382720435838218,0.0694970664010911,381.79841823875904,410.01540841534734
2024-11-24 12:00:00+00:00,2024,bull,bull_deep,-2181.010303320363,488.5763325728476,-2669.5866358932108,0.4273279672642429,bull|conf_hi|long_normal|short_squeeze,1.3315391540527344,0.1655080213903743,0.4407153236455606,307.42053349968046,1997.897729743272
2024-01-22 12:00:00+00:00,2024,side,side_down,-2116.700995829888,-756.633747369051,-1360.0672484608367,-0.0632497924092909,side|conf_lo|long_knife|short_normal,0.7313781827688217,-0.1100298226338095,0.1700539606034946,-273.10126926749945,-282.4174542911351
2025-07-10 08:00:00+00:00,2025H2,side,side_flat,-2114.299111999572,1956.8796455860136,-4071.178757585585,0.0172945969034907,side|conf_hi|long_normal|short_squeeze,0.96665757894516,-0.0097232610321617,0.7353328707730971,127.16703582555056,7005.733826663345
2024-12-02 20:00:00+00:00,2024,bull,bull_deep,-2048.1791021302342,-371.2629294022918,-1676.9161727279425,0.3827822880671701,bull|conf_hi|long_normal|short_squeeze,1.1805132031440737,0.023309146960412,0.21359017604098,240.62391370534897,615.0429230183363
2025-10-12 08:00:00+00:00,2025H2,side,side_flat,-2024.745943635935,-1280.8158062398434,-743.9301373960916,-0.030024928028686,side|conf_hi|long_normal|short_normal,1.5557849407196045,0.6070512105321879,-0.2932827054956364,-106.36422783136368,640.3588433749974
2025-05-12 12:00:00+00:00,2025H1,bull,bull_deep,-2009.4081945717332,113.94109576940536,-2123.349290341139,0.2435332023763894,bull|conf_hi|long_normal|short_squeeze,1.1651382446289062,-0.0386431875355027,0.9729858040955262,263.67814745754004,1344.5025123655796
2024-11-24 16:00:00+00:00,2024,bull,bull_deep,-1973.8457899075,-427.2170923650265,-1546.6286975424737,0.4244211442811851,bull|conf_hi|long_knife|short_squeeze,1.3598426580429075,-0.1422305764411028,0.3407243465060975,-177.38726921379566,420.9045972675085
2026-05-13 00:00:00+00:00,2026,bull,bull_mild,-1950.297432485968,-1337.8780893981457,-612.4193430878222,0.1383865073827554,bull|conf_hi|long_normal|short_squeeze,1.7376853227615356,-0.0080576759966072,0.7539682766709097,89.92411196231842,2229.2336774989963
2025-05-22 12:00:00+00:00,2025H1,bull,bull_deep,-1933.7361911311743,-888.8358576223254,-1044.9003335088491,0.2535836150489807,bull|conf_lo|long_normal|short_normal,0.6357555985450745,0.2491829414109205,0.1464258063592743,800.3785833716393,1008.6515313014388
2025-01-22 08:00:00+00:00,2025H1,bull,bull_mild,-1920.1449930551464,-254.66657214565203,-1665.4784209094942,0.1003341642016641,bull|conf_lo|long_normal|short_normal,0.7510800361633301,-0.068844569517517,-0.0885033008709281,-233.84882137179372,604.4397922232747
2025-08-21 04:00:00+00:00,2025H2,side,side_flat,-1914.382493851008,-406.7711031530053,-1507.6113906980029,-0.0268435512535729,side|conf_hi|long_normal|short_normal,1.0693679451942444,-0.0281933256616802,0.1169481355134369,-869.7470836341381,137.00580166187137
2025-09-08 12:00:00+00:00,2025H2,side,side_flat,-1903.6097214120675,-601.5335349366069,-1302.0761864754604,-0.042655231320497,side|conf_hi|long_normal|short_normal,1.1838797330856323,0.1314776632302405,0.0531817241525028,22.261328995227814,-149.86309222877026
2025-05-11 20:00:00+00:00,2025H1,bull,bull_deep,-1890.685730613768,9.050560183823109,-1899.7362907975912,0.243829428804589,bull|conf_lo|long_normal|short_squeeze,0.7837241888046265,-0.0186792771491302,1.5765584955242211,-103.40234264731409,3855.327531928197
2025-07-20 08:00:00+00:00,2025H2,bull,bull_mild,-1875.21506275516,-634.1047235764563,-1241.1103391787035,0.1164570090994878,bull|conf_hi|long_normal|short_normal,0.865310937166214,-0.0810343007915567,0.0069556170996993,233.507645316422,172.24771407200024
2025-05-10 16:00:00+00:00,2025H1,bull,bull_deep,-1852.1456338930875,-450.069522485137,-1402.0761114079503,0.3102205996227287,bull|conf_hi|long_knife|short_squeeze,1.0564466714859009,-0.2196881845123051,1.1142443751170212,-627.6180595159531,-1154.4215399771929
2025-09-21 12:00:00+00:00,2025H2,side,side_flat,-1824.672523071058,-1113.0760895321146,-711.5964335389435,0.0294883632306759,side|conf_hi|long_normal|short_normal,1.2663142681121826,0.0126487667452424,0.0912036377543096,-289.80741946725175,487.0672430843115
2025-05-27 00:00:00+00:00,2025H1,bull,bull_hot,-1811.744137930873,-1289.7131335921586,-522.0310043387144,0.1560814269818369,bull|conf_lo|long_normal|short_normal,0.5909546613693237,0.027703306523682,0.0059657431348238,-271.9957660883665,15.767912846058609
2025-10-12 04:00:00+00:00,2025H2,side,side_flat,-1789.3901257775724,-1489.3915317952633,-299.9985939823091,-0.0371956623742244,side|conf_hi|long_normal|short_normal,1.6505009531974792,0.5988112052730699,-0.3656365592089738,266.88244193792343,1106.5170541405678
2024-05-14 16:00:00+00:00,2024,side,side_flat,-1788.2553749950605,-2067.569922655821,279.3145476607606,-0.0402313880794042,side|conf_hi|long_normal|short_normal,0.771089106798172,0.1988815865329183,-0.0453311485430749,618.4987258166075,-235.5282660573721
2026-01-26 16:00:00+00:00,2026,side,side_flat,-1780.5962159764022,-1466.234810650349,-314.3614053260535,0.0011472568106944,side|conf_lo|long_knife|short_normal,0.5948629379272461,-0.1421092628556953,0.1426282164164911,-280.0874609965831,652.0279264077544
2025-09-26 04:00:00+00:00,2025H2,side,side_flat,-1772.7909609675407,284.1780846938491,-2056.96904566139,-0.01781921382339,side|conf_lo|long_normal|short_squeeze,0.7200287282466888,-0.0467816404128191,0.1522977837856731,256.0831094160676,63.460576348006725
2025-08-25 20:00:00+00:00,2025H2,side,side_down,-1765.1336535345763,-1255.3298426792026,-509.80381085537374,-0.0610588350816364,side|conf_hi|long_knife|short_normal,1.1132969856262207,-0.1904761904761904,-0.1265039597694225,-1388.5150477290154,-252.7648508839775
2026-05-12 00:00:00+00:00,2026,bull,bull_mild,-1761.145048076287,-453.23955710045993,-1307.905490975827,0.1212169874249573,bull|conf_hi|long_normal|short_squeeze,1.1963270902633667,-0.0283042087127737,0.2314429667139663,-423.3205795753747,514.5204864675179
2024-11-23 08:00:00+00:00,2024,bull,bull_deep,-1740.198195911944,-346.6901392675936,-1393.5080566443503,0.4687130874907461,bull|conf_hi|long_normal|short_squeeze,0.8728232085704803,-0.0468396994693427,0.1208584339188916,645.0483063235879,1211.203737184405
2025-05-13 00:00:00+00:00,2025H1,bull,bull_deep,-1731.800934430794,419.5400382013759,-2151.3409726321697,0.2030912405077545,bull|conf_lo|long_normal|short_normal,0.4689628630876541,0.0070710016037323,0.07487149653492,383.1659583374858,-317.6084646838717
2025-05-09 00:00:00+00:00,2025H1,bull,bull_deep,-1725.2122475474607,1050.7261543534696,-2775.9384019009303,0.3559961495874746,bull|conf_hi|long_knife|short_squeeze,0.8939303457736969,-0.5680535370263967,0.5594866809096961,-250.90658105909824,1901.8524093553424
