gate,action,period,macro,trend_bucket,n,edge_sum,edge_mean,win_rate,long_mean,short_mean
bucket_report_card,trade,2025H2,bear,bear_mid,62,-32133.28279911366,-518.2787548244138,0.3387096774193548,0.4055177991939408,-518.6842726236077
bucket_report_card,trade,2024,bull,bull_mild,112,-20105.462012391512,-179.51305368206707,0.44642857142857145,-131.1149141201895,-48.398139561877585
bucket_report_card,trade,2024,side,side_flat,358,-13161.148362321172,-36.762984252293776,0.4860335195530726,-77.25991581651135,40.49693156421758
bucket_report_card,trade,2025H1,side,side_up,69,-7708.912399239125,-111.72336810491485,0.391304347826087,-260.4691857297861,148.74581762487122
bucket_report_card,trade,2024,bear,bear_deep,12,-6341.990924984202,-528.4992437486835,0.25,-182.3776876941944,-346.1215560544891
bucket_report_card,trade,2026,bear,bear_mid,68,-6265.788703858561,-92.14395152733178,0.4852941176470588,-187.47476283726215,95.33081130993035
bucket_report_card,trade,2024,bull,bull_deep,231,-5894.216248880184,-25.516087657489976,0.4675324675324675,112.74919724685303,-138.26528490434302
bucket_report_card,trade,2025H1,bear,bear_deep,11,-4071.072173101129,-370.09747028192083,0.18181818181818182,-353.0531645149247,-17.044305766996164
bucket_report_card,trade,2024,bull,bull_hot,37,-2533.531070439494,-68.47381271458093,0.4594594594594595,-152.61600092934395,84.14218821476302
bucket_report_card,trade,2026,bull,bull_hot,41,-2210.42134486197,-53.91271572834073,0.43902439024390244,154.96699090673667,-208.8797066350774
bucket_report_card,trade,2025H1,side,side_flat,112,-2096.9078029224875,-18.72239109752221,0.5178571428571429,-71.87684738287966,53.154456285357455
bucket_report_card,trade,2024,side,side_down,153,-1312.9152441740641,-8.581145386758589,0.49673202614379086,88.72900799533038,-97.31015338208897
bucket_report_card,trade,2025H2,bull,bull_mild,41,-1219.6921088070667,-29.748588019684554,0.43902439024390244,-79.59239069150942,49.843802671824875
bucket_report_card,trade,2026,bear,bear_mild,33,-1201.8158899445552,-36.41866333165319,0.5151515151515151,-61.22854035118397,24.809877019530784
bucket_report_card,trade,2025H1,bull,bull_hot,13,2034.2706251540221,156.48235578107864,0.7692307692307693,107.50658241494631,48.97577336613232
bucket_report_card,trade,2025H1,bull,bull_mild,34,2601.7964230277357,76.52342420669811,0.5,14.945725706638768,61.57769850005934
bucket_report_card,trade,2025H2,side,side_flat,185,3379.925026323889,18.269865007156156,0.5135135135135135,42.78677758540309,-24.516912578246924
bucket_report_card,trade,2025H1,bear,bear_mid,56,7668.262022493764,136.93325040167434,0.5357142857142857,179.2031035177745,-42.26985311610016
bucket_report_card,trade,2025H2,bear,bear_deep,38,7800.932027239467,205.2876849273544,0.4473684210526316,-265.17318550567757,470.46087043303197
bucket_report_card,trade,2024,bear,bear_mid,42,9253.348437168825,220.31781993259105,0.6428571428571429,143.00846415218464,77.30935578040642
bucket_report_card,trade,2025H1,side,side_down,70,9628.620358334956,137.55171940478508,0.5285714285714286,102.46584830487596,35.08587109990913
bucket_report_card,trade,2025H2,side,side_down,69,10611.15192204852,153.78481046447132,0.5942028985507246,110.67119414002408,43.11361632444723
bucket_report_card,trade,2026,side,side_down,38,11691.553036216646,307.6724483214907,0.6842105263157895,275.82746227141655,31.84498605007416
bucket_report_card,trade,2026,side,side_up,106,13104.581896986929,123.62813110365028,0.5377358490566038,-103.53128672473106,227.15941782838132
bucket_report_card,trade,2024,side,side_up,161,13282.189462170209,82.49807119360378,0.577639751552795,13.41922573975799,69.07884545384579
bucket_report_card,trade,2024,bear,bear_mild,138,20815.785656232038,150.83902649443505,0.6376811594202898,38.052055649619646,112.78697084481541
bucket_report_card,trade,2026,bull,bull_mild,85,22621.5965216943,266.1364296669918,0.6,77.3017345356279,188.83469513136387
bucket_report_card,trade,2025H1,bear,bear_mild,114,22909.60467455534,200.96144451364333,0.6403508771929824,135.91499541737568,65.04644909626765
bucket_report_card,trade,2025H2,bear,bear_mild,89,27549.99791739465,309.55053839769266,0.5842696629213483,248.90889363295366,60.641644764739006
bucket_report_card,trade,2025H2,side,side_up,23,30282.14384241437,1316.61494967019,0.6521739130434783,906.7387030581417,409.8762466120483
bucket_report_card,trade,2026,bear,bear_deep,178,30943.336978298248,173.8389717881924,0.601123595505618,36.49722462285538,137.34174716533704
bucket_report_card,trade,2026,side,side_flat,335,33595.692459290374,100.28564913221007,0.564179104477612,48.034753112006,52.250896020204074
