era,feature,label,n_cyc,med_n_sym,block_days,ic_raw,t_raw,ic_pred_orth,t_pred_orth,ic_v0_orth,t_v0_orth
rec,ret_12h,h24,1591,167,1,-0.04672229905299062,-9.128576362355128,-0.042376552585200816,-8.612154522711316,-0.0006278019272886057,-0.2651239757811699
rec,ret_24h,h24,1591,167,1,-0.042574261318617704,-7.069905402778773,-0.03676404150059814,-6.462792790130171,0.010566454343125574,4.9313439723659185
rec,ret_36h,h24,1591,167,1,-0.036915867311409924,-5.937679361117188,-0.031286619048733665,-5.322402713918838,-0.0022195560636101785,-0.6700069964018593
rec,ret_3d_c,h24,1591,167,1,-0.029517605106052145,-4.321492315984798,-0.024279735284466433,-3.6897959214719105,0.009221959489322992,2.8007437007452105
rec,ret_5d,h24,1591,167,1,-0.024901139590085438,-3.6394038223706566,-0.020812026664607398,-3.1549932638888296,0.006034786015822081,1.3777276619355994
rec,ret_7d,h24,1591,167,1,-0.025307709978571576,-3.6978362989686717,-0.021841241959051447,-3.311766566920709,0.008068019603014245,1.7556827492618223
rec,ret_12h,h48,1579,167,2,-0.027925327436352274,-5.594204661929465,-0.023276362478341216,-5.011557875973099,-0.0005728639088475433,-0.24389859986544746
rec,ret_24h,h48,1579,167,2,-0.02879707118039824,-4.6152110379813935,-0.023040194909138268,-3.954547570461863,0.006532994372213073,3.021658153899301
rec,ret_36h,h48,1579,167,2,-0.022858769713210315,-3.2368187186480646,-0.017234893644071516,-2.583822746225485,0.0014574223852257195,0.4488765166133111
rec,ret_3d_c,h48,1579,167,2,-0.016268666348585897,-1.8757963548578291,-0.011799457724755298,-1.4114955168882415,0.003164091601585375,1.0141981659786594
rec,ret_5d,h48,1579,167,2,-0.012811402045301555,-1.3748872959297878,-0.009338161776760612,-1.0383390529712555,0.006736623377303246,1.1077523420933775
rec,ret_7d,h48,1579,167,2,-0.018262169474626267,-1.9700691410344309,-0.015282656488516826,-1.7006144720291616,0.006250832560991101,0.9446187118885969
rec,ret_12h,h72,1567,167,3,-0.020113979343695524,-4.006316224157863,-0.015289745418763085,-3.196876098221904,-0.0017185897197267638,-0.8369790328609025
rec,ret_24h,h72,1567,167,3,-0.01840597167580057,-2.6434847209571752,-0.01250040564830402,-1.8873505864357143,0.005000038916765065,2.6251234610598817
rec,ret_36h,h72,1567,167,3,-0.01469844589331087,-1.747514244457924,-0.008972683901424552,-1.101563478540411,0.003942786642512786,1.1410540515144219
rec,ret_3d_c,h72,1567,167,3,-0.009986312865869564,-1.0547382324016155,-0.005407681623835551,-0.5862478019998577,0.005423726047814603,1.9327947599276423
rec,ret_5d,h72,1567,167,3,-0.008586174640130567,-0.7810814270275627,-0.0051656605957152105,-0.48184061554841934,0.004831833851243802,0.711771917332268
rec,ret_7d,h72,1567,167,3,-0.01548059319588371,-1.4156094325160227,-0.012319072735276757,-1.1528165883620611,0.002866066297957797,0.3786248878805776
rec,ret_12h,m48,1579,167,2,0.007345314312131634,1.493218260267386,0.010664182592948861,2.2853161068447942,0.000275678622554878,0.11768843192114573
rec,ret_24h,m48,1579,167,2,0.0013730547133131285,0.2277873559469304,0.0051007980585586745,0.8885108893018648,0.001628112171617489,0.7440654330969542
rec,ret_36h,m48,1579,167,2,0.0033980411760148347,0.5333152804354805,0.007106604397955046,1.1622900618099574,0.004816238263233022,1.5208190350776487
