sym,t,fold,side,ret,pnl,win,absmove,fz,vq
ICPUSDT,2025-09-07 16:00:00+00:00,2,S,-0.0026982149574905634,0.0008994049858301878,1,0.0026982149574905634,0.9058486944713647,Q3
NEARUSDT,2025-09-07 16:00:00+00:00,2,S,-0.00806776899844408,0.0026892563328146935,1,0.00806776899844408,0.4908009760523331,Q2
TAOUSDT,2025-09-07 16:00:00+00:00,2,S,-0.00895695760846138,0.0029856525361537933,1,0.00895695760846138,0.30039307471461474,Q3
PENDLEUSDT,2025-09-07 20:00:00+00:00,2,L,0.000819919747300446,0.000273306582433482,1,0.000819919747300446,0.36633915521682,Q3
TONUSDT,2025-09-07 20:00:00+00:00,2,L,-0.0021619179751724005,-0.0007206393250574669,0,0.0021619179751724005,0.557865787250886,Q1_low
UNIUSDT,2025-09-07 20:00:00+00:00,2,L,0.00751960463821888,0.0025065348794062934,1,0.00751960463821888,0.4874036401437003,Q3
NEARUSDT,2025-09-07 20:00:00+00:00,2,S,0.0008133387309499085,-0.00040666936547495425,0,0.0008133387309499085,0.4908009760523333,Q2
TAOUSDT,2025-09-07 20:00:00+00:00,2,S,0.005367222707718611,-0.0026836113538593054,0,0.005367222707718611,0.3003930747146142,Q3
PENDLEUSDT,2025-09-08 00:00:00+00:00,2,L,0.030355295166373253,0.015177647583186626,1,0.030355295166373253,0.3241949566129822,Q3
UNIUSDT,2025-09-08 00:00:00+00:00,2,L,0.0075701032765209675,0.0037850516382604837,1,0.0075701032765209675,0.4874036401437003,Q3
NEARUSDT,2025-09-08 00:00:00+00:00,2,S,0.014221861027181149,-0.007110930513590574,0,0.014221861027181149,0.49022004768447736,Q2
TAOUSDT,2025-09-08 00:00:00+00:00,2,S,0.015340717509388924,-0.007670358754694462,0,0.015340717509388924,0.3003930747146142,Q3
SUIUSDT,2025-09-08 04:00:00+00:00,2,L,0.0019683882128447294,0.0009841941064223647,1,0.0019683882128447294,0.878814606693529,Q2
UNIUSDT,2025-09-08 04:00:00+00:00,2,L,-0.004444444552063942,-0.002222222276031971,0,0.004444444552063942,0.4874036401437003,Q3
NEARUSDT,2025-09-08 04:00:00+00:00,2,S,-0.0012019231216982007,0.0006009615608491004,1,0.0012019231216982007,0.465902273998036,Q2
TAOUSDT,2025-09-08 04:00:00+00:00,2,S,0.010576254688203335,-0.005288127344101667,0,0.010576254688203335,0.3003930747146142,Q3
AVAXUSDT,2025-09-08 08:00:00+00:00,2,L,0.011844059452414513,0.005922029726207256,1,0.011844059452414513,0.4527768158023332,Q2
UNIUSDT,2025-09-08 08:00:00+00:00,2,L,0.02306547574698925,0.011532737873494625,1,0.02306547574698925,0.4866731700517588,Q3
NEARUSDT,2025-09-08 08:00:00+00:00,2,S,0.005615724250674248,-0.002807862125337124,0,0.005615724250674248,0.45735536794845777,Q2
TAOUSDT,2025-09-08 08:00:00+00:00,2,S,0.012558681890368462,-0.006279340945184231,0,0.012558681890368462,0.2844750830631883,Q3
ICPUSDT,2025-09-08 12:00:00+00:00,2,L,0.011079195886850357,0.011079195886850357,1,0.011079195886850357,0.844277621408845,Q3
PENDLEUSDT,2025-09-08 12:00:00+00:00,2,S,0.02314700372517109,-0.011573501862585545,0,0.02314700372517109,0.3241949566129828,Q3
TAOUSDT,2025-09-08 12:00:00+00:00,2,S,0.02347695082426071,-0.011738475412130356,0,0.02347695082426071,0.2844750830631883,Q3
ICPUSDT,2025-09-08 16:00:00+00:00,2,L,-0.015016233548521996,-0.007508116774260998,0,0.015016233548521996,0.8168410616867727,Q3
SUIUSDT,2025-09-08 16:00:00+00:00,2,L,-0.015141126699745655,-0.0075705633498728275,0,0.015141126699745655,0.7856031620294952,Q2
AVAXUSDT,2025-09-08 16:00:00+00:00,2,S,-0.014225746504962444,0.004741915501654148,1,0.014225746504962444,0.3772176533770309,Q2
