feature,n_cycles,ic_mean,ic_median,ic_t,pearson_mean,spread_bps,spread_pos_pct,offset,label
idio_vol_to_btc_1d,1620,-0.0317978035147156,-0.032898468519568916,-4.276401008176471,0.00018319764243834283,11.57945371557165,0.4845679012345679,36,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.03185060358682767,-0.02883072684547444,-4.281832981137015,0.0005646402007760988,12.341252102270538,0.4919753086419753,37,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.033868387125392696,-0.0332894416984037,-4.57272954405433,-0.0021621573054121843,12.02199880282084,0.48641975308641977,38,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.0342693692312289,-0.0376811033823947,-4.604012369850606,-0.001420588917521158,12.201110896872885,0.4882716049382716,39,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.03278843978829443,-0.0401515247859299,-4.456228135025095,-0.001319265291628376,12.670612485467652,0.4901234567901235,40,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.03218543876027983,-0.03695810712259947,-4.358946675360299,-0.0012145561241553417,12.688608799157318,0.48518518518518516,41,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.03209664253725022,-0.03577459126239614,-4.325609983301596,-1.4875578087488368e-05,12.88383177033177,0.49135802469135803,42,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.032691384163680455,-0.036324041811846695,-4.387748569776147,-0.0011728207272673928,12.014414971036675,0.49320987654320986,43,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.03390601594248186,-0.043569073803645275,-4.540296032063813,-0.0008612733036659247,11.605353056611838,0.49074074074074076,44,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.034019091021177186,-0.045458228668665425,-4.548733251456228,7.780957107751245e-05,11.668115233050452,0.4820987654320988,45,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.035533795069040405,-0.04375746856428794,-4.7481297062832635,-0.0015242287565954814,11.819491896511597,0.49444444444444446,46,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.03563316356766222,-0.046017745914910604,-4.765295146932552,-0.0013963993514246671,11.307360962143651,0.49753086419753084,47,feature_idio_vol_to_btc_1d
