symbol,fold,feature,ic
ARBUSDT,3,ls_count_chg_4h_n,0.027563338557367152
ARBUSDT,3,ls_top_z_1d_n,0.004310121247303475
ARBUSDT,3,ls_taker_z_1d_n,0.001516273609968086
ARBUSDT,3,ls_taker_chg_4h_n,-0.003908862107707997
ARBUSDT,4,oi_chg_1h_n,-0.01574661571121758
ARBUSDT,4,oi_chg_4h_n,0.0051681708889383705
ARBUSDT,4,oi_chg_1d_n,-0.000765665412115341
ARBUSDT,4,oi_z_1d_n,-0.0027845351708791813
ARBUSDT,4,oi_z_7d_n,0.019420334266560466
ARBUSDT,4,oiv_z_1d_n,0.0612767057203018
ARBUSDT,4,ls_count_z_1d_n,0.02524987038277439
ARBUSDT,4,ls_count_chg_4h_n,0.024485009306325786
ARBUSDT,4,ls_top_z_1d_n,-0.0019524126896120371
ARBUSDT,4,ls_taker_z_1d_n,0.0037250170895990315
ARBUSDT,4,ls_taker_chg_4h_n,-0.004716029613850586
ARBUSDT,5,oi_chg_1h_n,-0.03381831536882283
ARBUSDT,5,oi_chg_4h_n,-0.06132349319861294
ARBUSDT,5,oi_chg_1d_n,-0.03077742818706168
ARBUSDT,5,oi_z_1d_n,-0.030327718746542852
ARBUSDT,5,oi_z_7d_n,-0.03513998891247148
ARBUSDT,5,oiv_z_1d_n,0.03227004524502182
ARBUSDT,5,ls_count_z_1d_n,0.011770717787621005
ARBUSDT,5,ls_count_chg_4h_n,0.01302143530687299
ARBUSDT,5,ls_top_z_1d_n,0.020507248117709185
ARBUSDT,5,ls_taker_z_1d_n,0.004605806389507595
ARBUSDT,5,ls_taker_chg_4h_n,-0.006244443040040665
ARBUSDT,6,oi_chg_1h_n,-0.007843923505074638
ARBUSDT,6,oi_chg_4h_n,-0.047775357788081646
ARBUSDT,6,oi_chg_1d_n,-0.035423984888708515
ARBUSDT,6,oi_z_1d_n,-0.037550414882750086
ARBUSDT,6,oi_z_7d_n,-0.038048176814748716
ARBUSDT,6,oiv_z_1d_n,0.001928787667346443
ARBUSDT,6,ls_count_z_1d_n,0.022530602522603305
ARBUSDT,6,ls_count_chg_4h_n,0.01856268911021988
ARBUSDT,6,ls_top_z_1d_n,0.04004412871460402
ARBUSDT,6,ls_taker_z_1d_n,0.0029493546776511487
ARBUSDT,6,ls_taker_chg_4h_n,-0.002240120794924347
ARBUSDT,7,oi_chg_1h_n,-0.008755976351058611
ARBUSDT,7,oi_chg_4h_n,-0.04526042639212603
ARBUSDT,7,oi_chg_1d_n,-0.032395262338977715
ARBUSDT,7,oi_z_1d_n,-0.02824941839811026
ARBUSDT,7,oi_z_7d_n,-0.03182932250142572
