symbol,feature,same_sign_frac,mean_ic
LTCUSDT,ls_taker_chg_4h_n,0.8888888888888888,-0.005254054578131163
LTCUSDT,ls_taker_z_1d_n,1.0,-0.013368119338668695
LTCUSDT,ls_top_z_1d_n,0.6666666666666666,-0.001282179226921476
LTCUSDT,oi_chg_1d_n,1.0,-0.0734740088352029
LTCUSDT,oi_chg_1h_n,0.8888888888888888,-0.03094193849653753
LTCUSDT,oi_chg_4h_n,0.8888888888888888,-0.019184443735724702
LTCUSDT,oi_z_1d_n,1.0,-0.050711920052264534
LTCUSDT,oi_z_7d_n,1.0,-0.05201119202499432
LTCUSDT,oiv_z_1d_n,1.0,-0.051911220234378
NEARUSDT,ls_count_chg_4h_n,0.5555555555555556,0.008440484037529006
NEARUSDT,ls_count_z_1d_n,0.5555555555555556,0.013816632522281129
NEARUSDT,ls_taker_chg_4h_n,0.8888888888888888,0.008431486863822932
NEARUSDT,ls_taker_z_1d_n,1.0,0.008198309381258297
NEARUSDT,ls_top_z_1d_n,1.0,0.03797268296206136
NEARUSDT,oi_chg_1d_n,1.0,0.03009934856583084
NEARUSDT,oi_chg_1h_n,1.0,0.011208705233224574
NEARUSDT,oi_chg_4h_n,0.7777777777777778,-0.0025453715075023312
NEARUSDT,oi_z_1d_n,1.0,0.01850109216657086
NEARUSDT,oi_z_7d_n,1.0,0.05431053708337161
NEARUSDT,oiv_z_1d_n,0.5555555555555556,0.010895287195135989
OPUSDT,ls_count_chg_4h_n,1.0,-0.0365234879028454
OPUSDT,ls_count_z_1d_n,1.0,-0.05050710464142552
OPUSDT,ls_taker_chg_4h_n,1.0,-0.0055859284708723485
OPUSDT,ls_taker_z_1d_n,1.0,-0.00876253405045573
OPUSDT,ls_top_z_1d_n,1.0,-0.032789209643091115
OPUSDT,oi_chg_1d_n,1.0,-0.018365063291695446
OPUSDT,oi_chg_1h_n,0.6666666666666666,-0.006283179492702855
OPUSDT,oi_chg_4h_n,0.8888888888888888,-0.024160524212906695
OPUSDT,oi_z_1d_n,1.0,-0.029399641338939648
OPUSDT,oi_z_7d_n,0.8888888888888888,-0.014422292752437995
OPUSDT,oiv_z_1d_n,0.5555555555555556,0.0010423666626563494
RUNEUSDT,ls_count_chg_4h_n,0.8888888888888888,0.00813071998777593
RUNEUSDT,ls_count_z_1d_n,0.6666666666666666,0.006731879448341065
RUNEUSDT,ls_taker_chg_4h_n,0.7777777777777778,0.0007465529303124205
RUNEUSDT,ls_taker_z_1d_n,1.0,0.0033947748844263934
RUNEUSDT,ls_top_z_1d_n,0.8888888888888888,0.013381160958478508
RUNEUSDT,oi_chg_1d_n,1.0,0.1056632017119134
RUNEUSDT,oi_chg_1h_n,0.7777777777777778,0.015569650157554722
RUNEUSDT,oi_chg_4h_n,1.0,0.04953519369761541
RUNEUSDT,oi_z_1d_n,1.0,0.06882749388878853
RUNEUSDT,oi_z_7d_n,1.0,0.0481212407912866
RUNEUSDT,oiv_z_1d_n,1.0,0.06398866333743679
SEIUSDT,ls_count_chg_4h_n,0.5555555555555556,0.002032278633813036
SEIUSDT,ls_count_z_1d_n,1.0,0.028178551016168205
SEIUSDT,ls_taker_chg_4h_n,1.0,-0.007153096270874085
SEIUSDT,ls_taker_z_1d_n,1.0,-0.007647305955958847
SEIUSDT,ls_top_z_1d_n,0.6666666666666666,0.016323704630252674
SEIUSDT,oi_chg_1d_n,1.0,-0.03283522064797471
SEIUSDT,oi_chg_1h_n,0.6666666666666666,-0.04840399935154808
SEIUSDT,oi_chg_4h_n,1.0,-0.06318967442433308
SEIUSDT,oi_z_1d_n,1.0,-0.03902547720359484
SEIUSDT,oi_z_7d_n,0.6666666666666666,-0.016544457280403654
SEIUSDT,oiv_z_1d_n,0.5555555555555556,-0.014473153323656495
SOLUSDT,ls_count_chg_4h_n,0.6666666666666666,0.011890668625259898
SOLUSDT,ls_count_z_1d_n,1.0,0.0340201380312773
SOLUSDT,ls_taker_chg_4h_n,1.0,0.005957021101450526
SOLUSDT,ls_taker_z_1d_n,1.0,0.006676208308717854
SOLUSDT,ls_top_z_1d_n,0.6666666666666666,-0.004917914252765618
SOLUSDT,oi_chg_1d_n,1.0,0.02300021956331772
SOLUSDT,oi_chg_1h_n,0.5555555555555556,-0.004939462930470857
SOLUSDT,oi_chg_4h_n,0.7777777777777778,-0.008007390331058208
SOLUSDT,oi_z_1d_n,1.0,-0.030353112516955327
SOLUSDT,oi_z_7d_n,0.6666666666666666,0.0004344732015252957
SOLUSDT,oiv_z_1d_n,1.0,-0.018368557462172072
SUIUSDT,ls_count_chg_4h_n,0.5555555555555556,0.005154443811053197
SUIUSDT,ls_count_z_1d_n,0.8888888888888888,-0.010857132789094304
